delivery_id,date,city,route_id,driver_id,vehicle_id,planned_minutes,actual_minutes,on_time,distance_km,fuel_cost,other_cost
DLV0000145,5/17/2025,PHC,RTE007,D046,V091,75,90,0,85.4,55.73,5.39
DLV0000146,2/18/2025,PHC,RTE004,D104,V053,122,119,1,9.3,10.7,8.42
DLV0000147,2/9/2025,Lagos,RTE179,D143,V010,231,239,1,143,112.3,10.95
DLV0000148,3/28/2025,Abuja,RTE078,D108,V093,38,62,0,88.7,103.95,0.04
DLV0000149,4/13/2025,Kano,RTE101,D065,V009,159,157,1,45.3,48.54,13.62
DLV0000150,3/23/2025,Ibadan,RTE015,D023,V094,29,43,0,71.5,48.88,12.67
DLV0000151,2/12/2025,PHC,RTE143,D020,V047,151,177,0,8.1,4.48,12.74
DLV0000152,6/19/2025,Abuja,RTE102,D134,V038,226,220,1,30.1,22.44,3.07
DLV0000153,1/19/2025,Abuja,RTE016,D025,V024,88,71,1,121.1,127.69,10.27
DLV0000154,6/1/2025,Abuja,RTE134,D052,V040,64,46,1,139.5,158.3,7.92
DLV0000155,4/18/2025,PHC,RTE099,D124,V036,187,214,0,112.9,127.64,10.97
DLV0000156,6/24/2025,Kano,RTE046,D048,V036,94,78,1,43.2,34.75,1.42
DLV0000157,6/19/2025,Kano,RTE023,D100,V059,223,260,0,13.7,16.19,10.74
DLV0000158,5/21/2025,Kano,RTE162,D067,V023,215,258,0,35.2,23.76,3
DLV0000159,6/3/2025,Kano,RTE053,D036,V083,41,6,1,52.1,61.86,9.74
DLV0000160,4/21/2025,Kano,RTE038,D060,V095,82,83,1,22.7,26.73,4.2
DLV0000161,6/2/2025,Ibadan,RTE014,D135,V083,159,131,1,89.5,84.5,8.38
DLV0000162,5/19/2025,Lagos,RTE198,D120,V002,93,122,0,148,170.52,9.52
DLV0000163,6/13/2025,Kano,RTE146,D146,V090,202,202,1,56,62.24,2.71
DLV0000164,6/15/2025,PHC,RTE114,D109,V073,72,103,0,142.2,162.38,7.25
DLV0000165,1/8/2025,PHC,RTE088,D034,V023,229,235,1,137.8,78.45,1.64
DLV0000166,2/10/2025,Lagos,RTE031,D097,V075,223,224,1,124.5,72.29,1.38
DLV0000167,4/4/2025,PHC,RTE116,D036,V087,114,85,1,78.8,83.59,6.34
DLV0000168,5/24/2025,Ibadan,RTE091,D038,V011,82,128,0,34.9,24.39,2.51
DLV0000169,1/20/2025,Abuja,RTE030,D094,V078,162,134,1,124.4,120.9,6.88
DLV0000170,5/29/2025,Ibadan,RTE003,D095,V063,238,222,1,113.8,104.28,12.73
DLV0000171,4/22/2025,Lagos,RTE086,D016,V029,62,87,0,39.4,35.39,6.25
DLV0000172,3/12/2025,Ibadan,RTE099,D059,V089,48,72,0,139.1,137.62,3.02
DLV0000173,3/17/2025,Lagos,RTE142,D051,V019,52,6,1,24.1,26.93,3.91
DLV0000174,5/20/2025,Kano,RTE067,D078,V098,201,159,1,115.9,54.73,2.45
DLV0000175,6/3/2025,Kano,RTE168,D122,V041,38,41,1,93.1,106.68,1.41
DLV0000176,4/10/2025,PHC,RTE103,D030,V043,99,81,1,44.1,50.29,1.12
DLV0000177,6/20/2025,Kano,RTE068,D099,V078,230,226,1,29.5,21.87,0.39
DLV0000178,1/2/2025,Ibadan,RTE049,D073,V062,188,180,1,14.2,7.14,5.02
DLV0000179,5/21/2025,PHC,RTE023,D130,V048,39,32,1,126.6,136.21,7.92
DLV0000180,5/28/2025,Lagos,RTE026,D086,V024,36,43,1,7.1,8.44,0.39
DLV0000181,4/17/2025,Kano,RTE166,D023,V081,23,87,0,108.3,109.06,0.2
DLV0000182,4/29/2025,Kano,RTE029,D140,V052,170,146,1,86.1,42.29,2.81
DLV0000183,2/3/2025,Ibadan,RTE055,D053,V019,45,76,0,129.5,146.14,2.13
DLV0000184,4/23/2025,Kano,RTE041,D103,V003,82,86,1,58.4,46.04,3.36
DLV0000185,2/27/2025,Ibadan,RTE153,D137,V049,116,108,1,27.5,28.05,8.42
DLV0000186,5/10/2025,Ibadan,RTE043,D135,V052,199,212,0,39.2,35.04,10.29
DLV0000187,3/3/2025,Abuja,RTE038,D018,V055,201,201,1,135,104.89,9.28
DLV0000188,4/7/2025,Ibadan,RTE056,D070,V007,23,26,1,89.3,60.82,7.53
DLV0000189,5/13/2025,Kano,RTE020,D094,V084,99,92,1,54.1,39.87,8.18
DLV0000190,4/10/2025,Ibadan,RTE154,D117,V001,76,84,1,56.1,35.79,4.5
DLV0000191,6/9/2025,Lagos,RTE097,D051,V046,57,104,0,80.7,93.63,13.88
DLV0000192,4/7/2025,Ibadan,RTE163,D068,V036,196,186,1,80,90.95,2.67
DLV0000193,2/28/2025,Lagos,RTE017,D126,V083,75,86,0,147.2,79.1,13.59
DLV0000194,2/5/2025,Kano,RTE181,D049,V033,96,98,1,140.6,66.69,10.2
DLV0000195,3/4/2025,Kano,RTE035,D100,V028,69,119,0,10.6,5.25,5.54
DLV0000196,6/10/2025,Lagos,RTE129,D086,V041,95,107,0,57.4,52.31,0.29
DLV0000197,2/26/2025,PHC,RTE149,D103,V026,183,153,1,53.3,46.57,5.59
DLV0000198,4/15/2025,Kano,RTE179,D085,V086,230,264,0,93.6,43.7,10.1
DLV0000199,1/5/2025,Kano,RTE098,D058,V075,68,69,1,100.2,59.76,14.52
DLV0000200,6/5/2025,Abuja,RTE089,D103,V068,42,48,1,112.1,69.69,12.1
DLV0000201,5/25/2025,PHC,RTE105,D106,V095,231,203,1,86.1,45.28,7.25
DLV0000202,5/8/2025,Lagos,RTE150,D046,V076,66,132,0,17.4,10.6,6.46
DLV0000203,2/4/2025,Ibadan,RTE189,D051,V029,76,92,0,22.2,13.06,13.93
DLV0000204,6/24/2025,Abuja,RTE132,D068,V065,237,236,1,29.5,12.34,2.63
DLV0000205,4/29/2025,PHC,RTE011,D039,V094,174,184,1,28.8,16.17,4.13
DLV0000206,3/2/2025,Ibadan,RTE071,D145,V087,236,221,1,33.7,26.22,11.44
DLV0000207,4/14/2025,Ibadan,RTE196,D044,V005,191,175,1,147.8,119.49,13.06
DLV0000208,6/10/2025,PHC,RTE128,D063,V097,143,133,1,54.6,26.99,5.45
DLV0000209,2/19/2025,Ibadan,RTE125,D057,V001,22,18,1,36.7,15.65,8.94
DLV0000210,5/14/2025,PHC,RTE097,D061,V062,171,190,0,91.2,59.42,5.75
DLV0000211,6/15/2025,Kano,RTE190,D090,V003,107,70,1,26.5,12.06,8.57
DLV0000212,5/19/2025,PHC,RTE044,D143,V089,196,167,1,50.5,29.91,12.04
DLV0000213,5/8/2025,Abuja,RTE090,D112,V028,214,229,0,79.2,64.02,1.84
DLV0000214,4/10/2025,Kano,RTE006,D040,V062,158,166,1,10.2,11.74,0.24
DLV0000215,1/27/2025,Ibadan,RTE121,D049,V046,26,53,0,51,25.13,5.45
DLV0000216,1/2/2025,Lagos,RTE155,D051,V059,41,31,1,115.5,134.37,7.52
DLV0000217,3/23/2025,Ibadan,RTE184,D097,V036,171,165,1,77.8,70.7,8.33
DLV0000218,3/24/2025,Ibadan,RTE114,D035,V054,201,204,1,136.7,101.24,2.13
DLV0000219,1/5/2025,Lagos,RTE183,D023,V056,55,48,1,18.8,20.86,5.14
DLV0000220,3/23/2025,PHC,RTE153,D095,V013,59,64,1,28.8,17.2,2.61
DLV0000221,5/8/2025,Ibadan,RTE073,D056,V026,79,105,0,73.4,33.85,8.47
DLV0000222,3/7/2025,Ibadan,RTE038,D145,V011,78,64,1,134.4,59,5.21
DLV0000223,5/22/2025,Kano,RTE184,D127,V089,179,110,1,33.9,30.21,5.23
DLV0000224,5/7/2025,Kano,RTE039,D111,V059,201,192,1,139.1,165.79,0.09
DLV0000225,2/14/2025,Kano,RTE081,D084,V068,217,229,0,78.9,84.48,6.43
DLV0000226,5/17/2025,Abuja,RTE145,D043,V061,209,217,1,131.1,123.74,5.67
DLV0000227,5/9/2025,Kano,RTE103,D135,V063,202,209,1,109.3,92.37,8.96
DLV0000228,3/21/2025,Abuja,RTE169,D033,V084,166,164,1,80.7,69.57,10.67
DLV0000229,3/17/2025,Ibadan,RTE003,D093,V062,80,76,1,144.7,94.55,8.63
DLV0000230,1/27/2025,Kano,RTE171,D022,V009,101,104,1,87.4,77.26,3.06
DLV0000231,4/30/2025,Kano,RTE074,D029,V036,114,84,1,51,54.07,12.93
DLV0000232,5/29/2025,Ibadan,RTE068,D115,V035,109,140,0,71.3,66.43,0.53
DLV0000233,5/30/2025,Kano,RTE149,D024,V048,20,19,1,11.9,12.91,0.6
DLV0000234,3/3/2025,Lagos,RTE018,D033,V054,145,140,1,132.5,61.57,7.66
DLV0000235,5/14/2025,Abuja,RTE126,D020,V050,76,55,1,131.8,113.74,1.36
DLV0000236,3/23/2025,PHC,RTE016,D028,V039,128,106,1,48.1,22.93,6.56
DLV0000237,1/21/2025,PHC,RTE134,D102,V044,37,55,0,71.9,35.84,1.23
DLV0000238,3/19/2025,PHC,RTE167,D043,V047,223,205,1,89.6,95.1,2.93
DLV0000239,5/13/2025,Lagos,RTE021,D060,V065,26,43,0,90.2,79.04,14.25
DLV0000240,6/11/2025,Ibadan,RTE103,D148,V100,236,239,1,86.8,94.16,11.32
DLV0000241,3/16/2025,Ibadan,RTE023,D074,V044,187,199,0,149,145.94,0.15
DLV0000242,4/18/2025,Abuja,RTE066,D117,V003,90,115,0,65.4,28.87,3.64
DLV0000243,4/21/2025,PHC,RTE003,D075,V094,100,73,1,149.3,86.75,9.98
DLV0000244,6/26/2025,Ibadan,RTE134,D114,V005,167,165,1,144.6,167.9,2.34
DLV0000245,5/22/2025,Abuja,RTE146,D073,V018,59,18,1,30.5,15.12,3.73
DLV0000246,1/27/2025,Lagos,RTE167,D023,V062,59,38,1,54.2,50.31,5.03
DLV0000247,4/17/2025,PHC,RTE057,D050,V050,63,25,1,85.8,51.99,7.83
DLV0000248,5/12/2025,Lagos,RTE145,D116,V005,23,7,1,82.5,47.72,14.01
DLV0000249,5/22/2025,Kano,RTE057,D024,V005,195,171,1,60.3,36.19,11.02
DLV0000250,1/18/2025,Kano,RTE171,D116,V085,140,132,1,82.6,66.4,9.63
DLV0000251,4/17/2025,Lagos,RTE157,D038,V044,109,61,1,58.9,60.23,4.42
DLV0000252,1/10/2025,Lagos,RTE172,D089,V085,206,204,1,17.4,8.9,8.64
DLV0000253,1/18/2025,Abuja,RTE120,D055,V025,198,215,0,78.8,57.85,0.76
DLV0000254,2/18/2025,Kano,RTE091,D116,V014,43,72,0,69.3,74.57,10.55
DLV0000255,5/11/2025,Ibadan,RTE104,D148,V031,78,66,1,4.1,3.09,12.81
DLV0000256,1/29/2025,Abuja,RTE137,D037,V037,178,177,1,60,51.35,3.3
DLV0000257,1/29/2025,Lagos,RTE052,D075,V066,75,55,1,114.4,97.68,13.18
DLV0000258,5/30/2025,Abuja,RTE070,D036,V032,123,149,0,87.7,59.56,6.17
DLV0000259,5/8/2025,Kano,RTE026,D038,V003,80,73,1,59.8,38.23,7.41
DLV0000260,4/27/2025,PHC,RTE084,D002,V065,180,170,1,73.6,31.02,4.07
DLV0000261,6/30/2025,Kano,RTE189,D115,V048,219,241,0,47.3,36.29,11.02
DLV0000262,5/23/2025,Abuja,RTE021,D051,V033,23,5,1,122,96.28,5.22
DLV0000263,4/5/2025,Lagos,RTE197,D011,V011,30,22,1,68.2,59.08,10.51
DLV0000264,6/10/2025,Abuja,RTE152,D136,V084,154,220,0,33.9,26.87,3.96
DLV0000265,3/27/2025,Ibadan,RTE056,D117,V080,117,96,1,134.6,110.23,13.25
DLV0000266,1/10/2025,Abuja,RTE194,D109,V051,202,259,0,64.8,36.3,0.03
DLV0000267,4/16/2025,Kano,RTE162,D108,V100,91,66,1,5.1,3.61,6.72
DLV0000268,2/28/2025,Ibadan,RTE069,D076,V061,165,155,1,133.8,88.08,3.79
DLV0000269,6/10/2025,Kano,RTE113,D084,V094,84,66,1,139.4,76.22,8.34
DLV0000270,3/17/2025,PHC,RTE173,D046,V023,201,208,1,148.2,81.61,14.44
DLV0000271,6/1/2025,Abuja,RTE098,D095,V078,26,57,0,73.9,34.22,12.96
DLV0000272,6/6/2025,Ibadan,RTE137,D133,V081,47,59,0,101.4,57.4,10.15
DLV0000273,3/10/2025,PHC,RTE155,D048,V005,200,181,1,128,87.41,14.19
DLV0000274,2/2/2025,Ibadan,RTE116,D029,V100,170,139,1,2.6,3.05,2.6
DLV0000275,4/17/2025,PHC,RTE038,D119,V003,144,158,0,30.6,32.96,8.92
DLV0000276,5/1/2025,Abuja,RTE047,D116,V095,35,5,1,88.8,101.29,1.31
DLV0000277,2/19/2025,Abuja,RTE184,D147,V065,204,171,1,149.6,100.69,7.97
DLV0000278,1/14/2025,Lagos,RTE124,D106,V062,168,235,0,87.1,58.14,9.92
DLV0000279,5/25/2025,Ibadan,RTE152,D138,V023,206,205,1,64.6,68.67,2.41
DLV0000280,4/9/2025,Abuja,RTE186,D011,V085,150,151,1,123.4,135.61,4.9
DLV0000281,6/15/2025,Lagos,RTE045,D020,V043,231,225,1,143.3,156.7,2.34
DLV0000282,1/1/2025,Lagos,RTE082,D058,V078,115,122,1,85.1,91.28,2.48
DLV0000283,6/22/2025,Ibadan,RTE098,D014,V045,101,85,1,145.1,101.4,4.41
DLV0000284,1/25/2025,Abuja,RTE172,D132,V059,37,18,1,76,82.8,12.24
DLV0000285,3/6/2025,Lagos,RTE056,D150,V009,185,256,0,58.3,61.56,5.98
DLV0000286,3/13/2025,Kano,RTE106,D109,V099,85,74,1,128.5,115.73,12.28
DLV0000287,4/13/2025,Ibadan,RTE151,D016,V043,55,61,1,21.9,22.56,3.34
DLV0000288,2/3/2025,Abuja,RTE102,D049,V071,83,85,1,112.7,77.87,9.96
DLV0000289,3/29/2025,PHC,RTE107,D148,V088,44,12,1,148.1,131.36,4.94
DLV0000290,2/10/2025,Abuja,RTE099,D059,V013,197,182,1,17.5,11.92,5.8
DLV0000291,3/15/2025,Ibadan,RTE069,D074,V006,89,75,1,17,17.98,10.89
